GeneID	Control_Expression_Group	Treatment_Expression_Group	Gene_description
Potri.003G009600	NA	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.T006100	Not Expressed	NA	unknown
Potri.003G067400	Low Expression	Low Expression	ribosomal protein L33
Potri.014G151800	NA	Low Expression	Eukaryotic protein of unknown function (DUF914)
Potri.015G025900	Medium Expression	Low Expression	FAD-binding Berberine family protein
Potri.008G220400	High Expression	NA	multifunctional protein 2
Potri.015G085300	Medium Expression	Medium Expression	quinolinate synthase
Potri.006G093000	NA	High Expression	unknown
Potri.002G079500	High Expression	High Expression	amino acid permease 3
Potri.005G045400	NA	Not Expressed	ARM repeat superfamily protein
Potri.004G116400	NA	Low Expression	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
Potri.004G153900	NA	High Expression	cyclase associated protein 1
Potri.009G166200	Not Expressed	NA	C2H2-like zinc finger protein
Potri.002G253400	Not Expressed	Not Expressed	GDSL-like Lipase/Acylhydrolase superfamily protein
Potri.013G141000	Low Expression	Low Expression	unknown
Potri.014G024100	NA	High Expression	Granulin repeat cysteine protease family protein
Potri.001G147000	NA	Medium Expression	Duplicated homeodomain-like superfamily protein
Potri.002G231000	NA	Medium Expression	Phosphoenolpyruvate carboxylase family protein
Potri.004G094200	Medium Expression	NA	DNA LIGASE 6
Potri.010G038300	NA	Medium Expression	glucosyl transferase family 8
Potri.002G169900	Medium Expression	NA	Plant protein 1589 of unknown function
Potri.003G015300	NA	High Expression	transmembrane nine 1
Potri.004G183500	NA	High Expression	lysm domain GPI-anchored protein 2 precursor
Potri.015G093600	NA	Low Expression	RNA-metabolising metallo-beta-lactamase family protein
Potri.019G133400	NA	High Expression	Protein of unknown function (DUF607)
Potri.008G037400	Low Expression	Low Expression	Protein kinase superfamily protein
Potri.016G042300	Not Expressed	Not Expressed	WD-40 repeat family protein / small nuclear ribonucleoprotein Prp4p-related
Potri.006G171400	Medium Expression	Medium Expression	CBL-interacting protein kinase 21
Potri.003G020300	High Expression	High Expression	Thioesterase superfamily protein
Potri.001G034200	NA	High Expression	ELCH-like
Potri.007G028200	Not Expressed	Not Expressed	Flavin-binding monooxygenase family protein
Potri.001G404700	NA	Not Expressed	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
Potri.012G082500	NA	Medium Expression	Phox (PX) domain-containing protein
Potri.012G066900	NA	Medium Expression	unknown
Potri.010G006600	NA	Low Expression	glycine-rich protein
Potri.007G080500	NA	Medium Expression	programmed cell death 2 C-terminal domain-containing protein
Potri.016G102100	NA	High Expression	NAD(P)-linked oxidoreductase superfamily protein
Potri.004G223700	High Expression	NA	DNA-binding bromodomain-containing protein
Potri.009G054600	NA	High Expression	xanthine dehydrogenase 1
Potri.001G233400	NA	High Expression	endomembrane-type CA-ATPase 4
Potri.004G126500	NA	Low Expression	homeobox protein 30
Potri.014G185600	Not Expressed	Not Expressed	unknown
Potri.017G079400	High Expression	High Expression	Protein of unknown function (DUF1637)
Potri.017G007700	NA	Medium Expression	Ribosomal protein L2 family
Potri.018G053800	NA	High Expression	Protein kinase superfamily protein
Potri.003G097700	High Expression	NA	Transcription elongation factor (TFIIS) family protein
Potri.011G144500	NA	Medium Expression	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein
Potri.017G092000	NA	High Expression	UDP-glucose 6-dehydrogenase family protein
Potri.014G074400	NA	Medium Expression	RNA-binding CRS1 / YhbY (CRM) domain-containing protein
Potri.011G071300	NA	Medium Expression	AAA-type ATPase family protein
Potri.004G216100	NA	Medium Expression	Protein of unknown function (DUF1635)
Potri.010G024100	NA	Low Expression	Mitochondrial substrate carrier family protein
Potri.018G091600	NA	Medium Expression	AINTEGUMENTA-like 5
Potri.017G125200	NA	Low Expression	RGA-like 2
Potri.018G088200	NA	Low Expression	Protein kinase family protein with leucine-rich repeat domain
Potri.017G106100	High Expression	NA	ARM repeat superfamily protein
Potri.006G155400	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.008G001900	Not Expressed	Not Expressed	zinc ion binding;nucleic acid binding
Potri.005G170100	NA	Medium Expression	unknown
Potri.007G112000	Not Expressed	NA	SAUR-like auxin-responsive protein family
Potri.012G085600	NA	High Expression	plant intracellular ras group-related LRR 9
Potri.005G211400	NA	Medium Expression	unknown
Potri.018G037100	NA	Medium Expression	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
Potri.015G059100	NA	High Expression	SPIRAL1-like1
Potri.011G023200	High Expression	Medium Expression	unknown
Potri.011G095400	NA	Not Expressed	unknown
Potri.011G033100	NA	High Expression	flavodoxin-like quinone reductase 1
Potri.010G012100	NA	High Expression	drought-induced 21
Potri.008G126100	Medium Expression	NA	phosphatidyl serine synthase family protein
Potri.004G140500	NA	Medium Expression	ribosomal protein S7
Potri.001G099600	NA	High Expression	monodehydroascorbate reductase 6
Potri.015G086500	Medium Expression	NA	31-kDa RNA binding protein
Potri.004G211200	High Expression	Medium Expression	SAND family protein
Potri.002G005100	NA	High Expression	NAD(P)-binding Rossmann-fold superfamily protein
Potri.017G073900	Medium Expression	Medium Expression	golgi alpha-mannosidase II
Potri.017G074000	NA	Medium Expression	ABC transporter family protein
Potri.014G053200	NA	Low Expression	ALG6, ALG8 glycosyltransferase family
Potri.011G023900	NA	High Expression	Coproporphyrinogen III oxidase
Potri.019G045800	Low Expression	Not Expressed	cysteine synthase 26
Potri.010G184200	Low Expression	NA	Glycosyl hydrolase family 85
Potri.016G120900	NA	High Expression	diaminopimelate epimerase family protein
Potri.001G249300	Medium Expression	NA	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.013G093400	NA	High Expression	Translation elongation factor EF1A/initiation factor IF2gamma family protein
Potri.014G040200	NA	Low Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.005G050400	Low Expression	Not Expressed	ATP binding;nucleic acid binding;helicases
Potri.017G042200	NA	Medium Expression	ZIM-like 1
Potri.017G086500	NA	High Expression	Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Potri.019G039200	NA	High Expression	ubiquiting-conjugating enzyme 2
Potri.004G098300	NA	Low Expression	unknown
Potri.001G070100	NA	Medium Expression	DHHC-type zinc finger family protein
Potri.011G090900	High Expression	Medium Expression	cation-chloride co-transporter 1
Potri.012G041300	NA	Low Expression	unknown
Potri.017G001700	NA	Not Expressed	ADP-glucose pyrophosphorylase small subunit 2
Potri.013G077200	Medium Expression	Low Expression	origin recognition complex subunit 3
Potri.010G001200	High Expression	High Expression	unknown
Potri.004G124800	NA	Low Expression	casein lytic proteinase B3
Potri.006G152200	NA	High Expression	unknown
Potri.007G048800	NA	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.012G090200	NA	Medium Expression	31-kDa RNA binding protein
Potri.013G106000	High Expression	High Expression	SEC14 cytosolic factor family protein / phosphoglyceride transfer family protein
Potri.012G089600	NA	Medium Expression	cytochrome P450, family 71, subfamily A, polypeptide 22
Potri.010G160500	High Expression	High Expression	Purple acid phosphatases superfamily protein
Potri.001G442900	Medium Expression	NA	VPS54
Potri.005G060100	NA	Low Expression	serine carboxypeptidase-like 50
Potri.014G102300	High Expression	High Expression	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.008G182300	High Expression	High Expression	TCP-1/cpn60 chaperonin family protein
Potri.006G107100	NA	High Expression	aspartate aminotransferase 1
Potri.003G048900	Medium Expression	Medium Expression	hydroxyproline-rich glycoprotein family protein
Potri.016G085300	Low Expression	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.015G087100	NA	Medium Expression	alpha/beta-Hydrolases superfamily protein
Potri.011G074200	Low Expression	Medium Expression	ribosomal protein S19
Potri.013G077500	NA	Low Expression	growth-regulating factor 5
Potri.016G019800	High Expression	NA	heat shock protein 70 (Hsp 70) family protein
Potri.019G050000	NA	High Expression	Target of Myb protein 1
Potri.017G112500	NA	Not Expressed	unknown
Potri.008G205600	High Expression	Medium Expression	chromatin remodeling factor17
Potri.002G157100	NA	Low Expression	Amino acid dehydrogenase family protein
Potri.016G023500	NA	Low Expression	Minichromosome maintenance (MCM2/3/5) family protein
Potri.003G033600	Low Expression	NA	DNA binding;DNA-directed RNA polymerases
Potri.015G077500	NA	High Expression	SufE/NifU family protein
Potri.017G126300	NA	Low Expression	pfkB-like carbohydrate kinase family protein
Potri.001G331600	NA	Medium Expression	Ribosomal protein S21 family protein
Potri.014G178300	NA	Medium Expression	UDP-Glycosyltransferase superfamily protein
Potri.019G062200	NA	High Expression	unknown
Potri.010G003200	NA	High Expression	unknown
Potri.010G134400	Medium Expression	Medium Expression	Phosphoribulokinase / Uridine kinase family
Potri.010G183300	NA	High Expression	prenylated RAB acceptor 1.B4
Potri.008G142900	Not Expressed	Low Expression	Pentatricopeptide repeat (PPR-like) superfamily protein
Potri.010G085900	Medium Expression	NA	Major facilitator superfamily protein
Potri.015G076100	High Expression	High Expression	peroxin 14
Potri.012G043200	NA	Low Expression	MAP kinase kinase 9
Potri.018G102700	NA	Low Expression	Ribosomal protein L35
Potri.001G075600	NA	High Expression	VACUOLAR SORTING RECEPTOR 6
Potri.019G132800	NA	Medium Expression	ABC transporter of the mitochondrion 3
Potri.014G027800	Medium Expression	NA	alpha/beta-Hydrolases superfamily protein
Potri.004G129200	NA	Low Expression	Trypsin family protein with PDZ domain
Potri.011G078300	NA	Medium Expression	SCP1-like small phosphatase 4
Potri.005G210500	NA	Medium Expression	F-box/RNI-like superfamily protein
Potri.003G038500	NA	High Expression	beta galactosidase 1
Potri.015G112700	High Expression	High Expression	Root hair defective 3 GTP-binding protein (RHD3)
Potri.013G142100	Not Expressed	Low Expression	photosystem II reaction center protein M
Potri.017G016800	NA	Medium Expression	Guanylate-binding family protein
Potri.006G190700	Not Expressed	Not Expressed	STRUBBELIG-receptor family 2
Potri.018G039200	NA	High Expression	peroxin4
Potri.004G123900	NA	Medium Expression	unknown
Potri.015G066400	Medium Expression	Medium Expression	Pentatricopeptide repeat (PPR) superfamily protein
Potri.002G243800	Medium Expression	Medium Expression	RING/U-box superfamily protein
Potri.005G230900	NA	Low Expression	HXXXD-type acyl-transferase family protein
Potri.011G133100	NA	Not Expressed	Pentatricopeptide repeat (PPR) superfamily protein
Potri.019G048500	NA	Not Expressed	unknown
Potri.011G052600	NA	High Expression	phosphate 2
Potri.002G163400	Medium Expression	NA	Heavy metal transport/detoxification superfamily protein
Potri.006G149800	High Expression	High Expression	Regulator of Vps4 activity in the MVB pathway protein
Potri.011G072100	NA	Medium Expression	NOD26-like intrinsic protein 1;2
Potri.014G072900	Low Expression	NA	Protein kinase superfamily protein
Potri.016G064300	NA	Low Expression	Peptidase M28 family protein
Potri.003G164200	Low Expression	Low Expression	kinase interacting (KIP1-like) family protein
Potri.013G135300	High Expression	NA	pre-mRNA splicing factor-related
Potri.010G062300	NA	Not Expressed	coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family
Potri.018G057200	NA	High Expression	nuclear poly(a) polymerase
Potri.004G068400	NA	High Expression	unknown
Potri.004G128000	Not Expressed	Not Expressed	unknown
Potri.013G126700	NA	Low Expression	unknown
Potri.005G093000	Medium Expression	Medium Expression	Zinc finger, C3HC4 type (RING finger) family protein
Potri.T061600	Not Expressed	Not Expressed	unknown
Potri.011G022900	NA	Medium Expression	unknown
Potri.006G056000	Medium Expression	NA	unknown
Potri.004G153800	NA	High Expression	O-Glycosyl hydrolases family 17 protein
Potri.017G060200	NA	Medium Expression	unknown
Potri.002G164400	High Expression	NA	WRKY family transcription factor
Potri.013G141100	NA	Low Expression	acetyl-CoA carboxylase carboxyl transferase subunit beta
Potri.017G070100	Medium Expression	Medium Expression	Protein phosphatase 2A regulatory B subunit family protein
Potri.002G200000	Low Expression	NA	unknown
Potri.016G083100	Medium Expression	Medium Expression	RNAligase
Potri.005G127500	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.013G013100	NA	Medium Expression	F-box family protein
Potri.018G014600	NA	High Expression	Eukaryotic aspartyl protease family protein
Potri.019G071700	High Expression	NA	aspartate kinase-homoserine dehydrogenase ii
Potri.005G095500	NA	Medium Expression	terpene synthase 21
Potri.008G224300	Not Expressed	Not Expressed	unknown
Potri.005G103300	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.005G019400	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.018G006400	NA	Medium Expression	Protein of unknown function (DUF1644)
Potri.008G045300	High Expression	NA	related to AP2.7
Potri.004G057600	NA	Medium Expression	peroxin 7
Potri.008G223800	NA	Not Expressed	unknown
Potri.006G241300	NA	High Expression	RNA polymerase I-associated factor PAF67
Potri.003G183900	NA	High Expression	hydroxycinnamoyl-CoA shikimate/quinate hydroxycinnamoyl transferase
Potri.011G157300	Medium Expression	NA	NAD(P)-binding Rossmann-fold superfamily protein
Potri.018G076200	NA	High Expression	NSP (nuclear shuttle protein)-interacting GTPase
Potri.003G181100	NA	High Expression	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Potri.008G100700	NA	High Expression	Protein phosphatase 2C family protein
Potri.T005200	NA	Medium Expression	Disease resistance protein (TIR-NBS-LRR class) family
Potri.005G180500	NA	High Expression	proteasome beta subunit C1
Potri.001G417300	NA	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.006G115800	High Expression	NA	Protein kinase superfamily protein
Potri.019G065500	NA	Medium Expression	Calcium-dependent lipid-binding (CaLB domain) family protein
Potri.003G005700	NA	High Expression	Smg-4/UPF3 family protein
Potri.001G412900	NA	Low Expression	aldehyde dehydrogenase 3H1
Potri.018G046400	NA	Medium Expression	Protein kinase family protein
Potri.017G028500	NA	Medium Expression	Integral membrane HRF1 family protein
Potri.019G047300	NA	Medium Expression	Transducin family protein / WD-40 repeat family protein
Potri.011G119700	High Expression	High Expression	proton pump interactor 1
Potri.013G145000	NA	Not Expressed	Pentatricopeptide repeat (PPR-like) superfamily protein
Potri.004G223600	Medium Expression	Medium Expression	DNA-binding bromodomain-containing protein
Potri.009G047400	NA	Low Expression	Protein of unknown function (DUF803)
Potri.004G013400	NA	Medium Expression	arogenate dehydratase 1
Potri.018G048700	NA	High Expression	F-box family protein
Potri.013G139300	Not Expressed	Not Expressed	NADH-Ubiquinone oxidoreductase (complex I), chain 5 protein
Potri.013G118700	Not Expressed	Not Expressed	UDP-glucosyl transferase 78D2
Potri.018G061600	Not Expressed	Not Expressed	Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Potri.014G018900	NA	High Expression	Subtilase family protein
Potri.014G025600	Medium Expression	NA	HXXXD-type acyl-transferase family protein
Potri.010G031000	High Expression	NA	tubby like protein 3
Potri.001G373200	Medium Expression	Medium Expression	GroES-like zinc-binding alcohol dehydrogenase family protein
Potri.010G022500	NA	Medium Expression	Zinc finger C-x8-C-x5-C-x3-H type family protein
Potri.T106300	NA	Medium Expression	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain
Potri.007G127900	Medium Expression	NA	cell division cycle protein 48-related / CDC48-related
Potri.018G091100	NA	Medium Expression	Transducin/WD40 repeat-like superfamily protein
Potri.003G065100	Not Expressed	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.001G469800	High Expression	NA	cation exchanger 5
Potri.015G074200	NA	Medium Expression	ARM repeat superfamily protein
Potri.002G222400	NA	Not Expressed	RNA-binding (RRM/RBD/RNP motifs) family protein
Potri.004G140800	NA	High Expression	nitrite reductase 1
Potri.018G127900	Medium Expression	NA	beta-1,4-N-acetylglucosaminyltransferase family protein
Potri.008G001800	Not Expressed	Not Expressed	zinc ion binding;nucleic acid binding
Potri.004G211300	High Expression	High Expression	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein
Potri.018G018600	Medium Expression	Medium Expression	Phototropic-responsive NPH3 family protein
Potri.001G376400	High Expression	High Expression	global transcription factor group E4
Potri.009G050000	High Expression	NA	hexokinase-like 1
Potri.002G082900	Low Expression	NA	clone eighty-four
Potri.011G079000	NA	Low Expression	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Potri.006G147500	NA	High Expression	myristoyl-CoA:protein N-myristoyltransferase
Potri.005G162300	NA	Low Expression	VQ motif-containing protein
Potri.001G276600	Low Expression	Not Expressed	cysteine-rich RLK (RECEPTOR-like protein kinase) 3
Potri.001G412500	Medium Expression	High Expression	unknown
Potri.008G159700	NA	Medium Expression	Pyruvate kinase family protein
Potri.014G067300	NA	High Expression	methionine aminopeptidase 1A
Potri.002G162000	High Expression	NA	Quinoprotein amine dehydrogenase, beta chain-like; RIC1-like guanyl-nucleotide exchange factor
Potri.004G140400	NA	Medium Expression	Putative endonuclease or glycosyl hydrolase
Potri.001G263700	High Expression	Medium Expression	sterol methyltransferase 1
Potri.015G055300	NA	High Expression	porphyromonas-type peptidyl-arginine deiminase family protein
Potri.008G223200	Not Expressed	NA	unknown
Potri.006G209700	NA	High Expression	Ribosomal protein S4
Potri.004G154600	Medium Expression	Medium Expression	BTB/POZ domain-containing protein
Potri.005G139100	NA	High Expression	ralf-like 34
Potri.005G225200	Low Expression	Low Expression	Rho termination factor
Potri.003G032100	NA	High Expression	Protein kinase superfamily protein
Potri.006G153800	NA	High Expression	unknown
Potri.014G047400	NA	Medium Expression	Protein of unknown function (DUF630 and DUF632)
Potri.012G076400	NA	Low Expression	plant U-box 38
Potri.018G146300	High Expression	Medium Expression	acetyl Co-enzyme a carboxylase biotin carboxylase subunit
Potri.002G140000	NA	Low Expression	Histone H3 K4-specific methyltransferase SET7/9 family protein
Potri.011G097100	NA	High Expression	RING/U-box superfamily protein
Potri.014G041800	Low Expression	Low Expression	UDP-Glycosyltransferase superfamily protein
Potri.008G186500	NA	Medium Expression	Octicosapeptide/Phox/Bem1p family protein
Potri.001G470300	High Expression	Medium Expression	Pyridoxamine 5\'-phosphate oxidase family protein
Potri.006G041600	NA	Medium Expression	unknown
Potri.019G059500	High Expression	High Expression	unknown
Potri.017G138600	NA	Medium Expression	Leucine-rich repeat protein kinase family protein
Potri.004G084800	High Expression	NA	methionine aminopeptidase 2B
Potri.007G095300	NA	Medium Expression	unknown
Potri.012G063400	NA	High Expression	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Potri.005G071900	NA	High Expression	homeobox protein 16
Potri.012G044300	High Expression	High Expression	nudix hydrolase homolog 4
Potri.005G149700	NA	Not Expressed	similar to RCD one 1
Potri.013G119700	Medium Expression	NA	unknown
Potri.017G067400	NA	Low Expression	Rad21/Rec8-like family protein
Potri.005G049000	NA	Low Expression	Rubredoxin-like superfamily protein
Potri.014G026500	NA	Medium Expression	Subtilisin-like serine endopeptidase family protein
Potri.018G078800	High Expression	NA	unknown
Potri.009G066500	NA	Not Expressed	Galactose oxidase/kelch repeat superfamily protein
Potri.008G205900	NA	Medium Expression	HAD-superfamily hydrolase, subfamily IG, 5\'-nucleotidase
Potri.006G116900	High Expression	NA	Nucleotide-diphospho-sugar transferases superfamily protein
Potri.004G053600	Not Expressed	NA	unknown
Potri.004G058700	Medium Expression	Medium Expression	transcriptional regulator family protein
Potri.012G066100	NA	High Expression	gamma subunit of Mt ATP synthase
Potri.010G011800	NA	Not Expressed	unknown
Potri.001G029400	NA	Low Expression	Mitochondrial transcription termination factor family protein
Potri.011G068100	NA	Medium Expression	transcriptional regulator family protein
Potri.013G105300	NA	Medium Expression	T-complex protein 11
Potri.014G178200	NA	Not Expressed	zinc finger protein 7
Potri.002G211400	Not Expressed	NA	unknown
Potri.001G341400	High Expression	NA	Pentatricopeptide repeat (PPR) superfamily protein
Potri.004G028400	NA	Low Expression	cysteine-rich RLK (RECEPTOR-like protein kinase) 6
Potri.002G214100	Low Expression	NA	phosphoenolpyruvate carboxylase 1
Potri.014G052500	High Expression	High Expression	metacaspase 1
Potri.004G201600	NA	Medium Expression	Rho GTPase activating protein with PAK-box/P21-Rho-binding domain
Potri.015G134100	NA	Medium Expression	Protein kinase superfamily protein
Potri.018G058300	High Expression	Medium Expression	unknown
Potri.013G110700	NA	Medium Expression	TCP family transcription factor
Potri.001G227600	NA	Not Expressed	beta glucosidase 13
Potri.005G147100	Not Expressed	NA	Homeobox-leucine zipper protein family
Potri.004G195400	NA	Low Expression	GDA1/CD39 nucleoside phosphatase family protein
Potri.001G053000	NA	Not Expressed	unknown
Potri.011G069500	NA	Medium Expression	receptor like protein 51
Potri.005G049500	NA	Medium Expression	unknown
Potri.010G042900	Medium Expression	Low Expression	Kelch repeat-containing F-box family protein
Potri.013G011200	NA	High Expression	Drought-responsive family protein
Potri.001G424000	NA	Medium Expression	Transmembrane proteins 14C
Potri.T005900	NA	Not Expressed	unknown
Potri.016G051200	NA	Medium Expression	Pectin lyase-like superfamily protein
Potri.018G070000	NA	High Expression	Class II aminoacyl-tRNA and biotin synthetases superfamily protein
Potri.008G170900	NA	Medium Expression	Family of unknown function (DUF716)
Potri.005G092700	NA	Medium Expression	Tudor/PWWP/MBT domain-containing protein
Potri.015G080800	Low Expression	NA	Leucine-rich receptor-like protein kinase family protein
Potri.017G032200	NA	Medium Expression	inositol transporter 1
Potri.006G081200	High Expression	NA	leucine-rich repeat/extensin 2
Potri.019G035300	NA	High Expression	Protein of unknown function (DUF1639)
Potri.010G091200	NA	Medium Expression	Homeotic gene regulator
Potri.006G190000	NA	Medium Expression	KNOTTED1-like homeobox gene 3
Potri.011G058500	High Expression	NA	Guanylate-binding family protein
Potri.014G100300	NA	Medium Expression	unknown
Potri.002G103800	NA	High Expression	general regulatory factor 8
Potri.003G060500	NA	Low Expression	periodic tryptophan protein 2
Potri.006G180100	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.004G142300	NA	Medium Expression	presequence protease 1
Potri.017G082200	NA	High Expression	Ribosomal protein L34e superfamily protein
Potri.007G078100	NA	Medium Expression	Leucine-rich receptor-like protein kinase family protein
Potri.002G220100	NA	Not Expressed	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.014G082600	Medium Expression	NA	unknown
Potri.005G025000	NA	Not Expressed	SGNH hydrolase-type esterase superfamily protein
Potri.007G024200	NA	Medium Expression	DNA glycosylase superfamily protein
Potri.015G033900	NA	Medium Expression	cyclic nucleotide-binding transporter 1
Potri.019G029400	Medium Expression	Medium Expression	unknown
Potri.008G012400	High Expression	NA	FASCICLIN-like arabinogalactan protein 17 precursor
Potri.010G014600	NA	Medium Expression	protein arginine methyltransferase 4A
Potri.011G147500	High Expression	NA	TMPIT-like protein
Potri.001G370900	NA	Medium Expression	Kinase-related protein of unknown function (DUF1296)
Potri.013G074300	Low Expression	Low Expression	HXXXD-type acyl-transferase family protein
Potri.010G124300	Low Expression	Not Expressed	ribosomal protein L15
Potri.001G085600	NA	High Expression	UBX domain-containing protein
Potri.001G195300	NA	Medium Expression	RNA methyltransferase family protein
Potri.014G043400	Not Expressed	Not Expressed	Phosphatidylinositol N-acetylglucosaminyltransferase, GPI19/PIG-P subunit
Potri.009G033300	NA	High Expression	SCARECROW-like 14
Potri.017G024400	Medium Expression	Medium Expression	Plant protein of unknown function (DUF247)
Potri.014G074200	NA	High Expression	AGAMOUS-like 20
Potri.006G022100	High Expression	NA	heat shock protein 70 (Hsp 70) family protein
Potri.005G044000	NA	Medium Expression	Frigida-like protein
Potri.010G127200	NA	Low Expression	unknown
Potri.013G010900	NA	High Expression	importin alpha isoform 1
Potri.014G000600	Medium Expression	NA	Enhancer of polycomb-like transcription factor protein
Potri.011G040800	Medium Expression	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.008G199000	NA	Low Expression	BSD domain-containing protein
Potri.014G146600	NA	High Expression	Chitinase family protein
Potri.015G075100	NA	Medium Expression	Uncharacterised protein family (UPF0497)
Potri.013G141200	Not Expressed	Not Expressed	unknown
Potri.014G069200	Medium Expression	Medium Expression	DHHC-type zinc finger family protein
Potri.009G079700	NA	High Expression	mitochondrial HSO70 2
Potri.001G422500	Medium Expression	NA	cytochrome P450, family 716, subfamily A, polypeptide 2
Potri.016G036200	Medium Expression	Low Expression	DNA GYRASE B2
Potri.007G077700	Low Expression	NA	unknown
Potri.019G020900	NA	High Expression	Homeodomain-like superfamily protein
Potri.014G175200	NA	High Expression	FRIGIDA-like protein
Potri.005G159300	NA	High Expression	auxin F-box protein 5
Potri.001G211200	NA	Medium Expression	Phosphatidylinositol-4-phosphate 5-kinase family protein
Potri.005G166500	Medium Expression	Medium Expression	F-box family protein
Potri.019G047200	NA	Medium Expression	Inositol 1,3,4-trisphosphate 5/6-kinase family protein
Potri.013G139200	Not Expressed	Low Expression	unknown
Potri.017G083000	NA	High Expression	GAST1 protein homolog 4
Potri.003G140200	Low Expression	Medium Expression	unknown
Potri.014G025700	NA	Medium Expression	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Potri.001G177200	NA	Low Expression	Tetratricopeptide repeat (TPR)-like superfamily protein
Potri.003G202500	NA	High Expression	unknown
Potri.010G022400	NA	Medium Expression	GTP1/OBG family protein
Potri.012G042500	NA	Medium Expression	extra-large GTP-binding protein 3
Potri.001G000800	Low Expression	NA	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Potri.005G162400	NA	High Expression	general regulatory factor 2
Potri.009G070700	Medium Expression	Medium Expression	ankyrin repeat family protein
Potri.009G054000	NA	High Expression	Nucleolar GTP-binding protein
Potri.014G164200	NA	Medium Expression	DGCR14-related
Potri.014G042700	Medium Expression	NA	Nucleotide-diphospho-sugar transferase family protein
Potri.012G034700	NA	Low Expression	FAD-binding Berberine family protein
Potri.012G045200	Medium Expression	NA	Surfeit locus 1 cytochrome c oxidase biogenesis protein
Potri.015G051400	NA	Not Expressed	unknown
Potri.016G137500	Low Expression	Not Expressed	VACUOLAR SORTING RECEPTOR 2
Potri.002G044800	NA	Medium Expression	RNI-like superfamily protein
Potri.011G003200	Not Expressed	NA	unknown
Potri.018G105900	NA	High Expression	signal recognition particle receptor alpha subunit family protein
Potri.019G094100	NA	Medium Expression	homolog of carrot EP3-3 chitinase
Potri.010G245100	NA	High Expression	ubiquitin-specific protease 12
Potri.002G141300	High Expression	NA	histone mono-ubiquitination 1
Potri.018G114300	NA	High Expression	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Potri.004G134500	High Expression	NA	Transmembrane CLPTM1 family protein
Potri.001G091900	NA	High Expression	AMP-dependent synthetase and ligase family protein
Potri.011G079100	NA	Low Expression	Ca2+ activated outward rectifying K+ channel 6
Potri.006G147600	NA	Medium Expression	membrane bound O-acyl transferase (MBOAT) family protein
Potri.001G009600	NA	Medium Expression	chromomethylase 3
Potri.018G074300	NA	High Expression	Leucine-rich repeat protein kinase family protein
Potri.003G085000	NA	Low Expression	Histone H3 K4-specific methyltransferase SET7/9 family protein
Potri.008G185400	Medium Expression	NA	eukaryotic translation initiation factor 4B1
Potri.001G148300	Medium Expression	NA	unknown
Potri.005G063900	NA	High Expression	Inositol monophosphatase family protein
Potri.008G020000	High Expression	NA	Ribosomal protein S25 family protein
Potri.001G208700	Medium Expression	NA	unknown
Potri.012G097900	Low Expression	NA	unknown
Potri.008G035200	NA	Not Expressed	Flavin containing amine oxidoreductase family protein
Potri.002G246800	Medium Expression	Medium Expression	Cyclin family protein
Potri.013G092000	Medium Expression	NA	RING/FYVE/PHD zinc finger superfamily protein
Potri.008G156600	Low Expression	Low Expression	sulfate transporter 3;1
Potri.002G138300	High Expression	High Expression	Hyaluronan / mRNA binding family
Potri.010G207700	NA	Medium Expression	ACT domain-containing protein
Potri.017G043200	NA	Medium Expression	unknown
Potri.001G353300	Not Expressed	NA	unknown
Potri.005G138100	High Expression	NA	Protein of unknown function (DUF1685)
Potri.015G028400	NA	Medium Expression	RING/U-box superfamily protein
